rid,auc,n_ict,n_ctl,subject
sub-073_ses-01_task-szMonitoring_run-24,0.98671875,16,80,73
sub-073_ses-01_task-szMonitoring_run-27,0.9185595567867035,19,95,73
sub-073_ses-01_task-szMonitoring_run-30,0.9496598639455782,21,105,73
sub-073_ses-01_task-szMonitoring_run-31,0.9728979591836735,35,175,73
sub-073_ses-01_task-szMonitoring_run-32,0.9115646258503401,21,105,73
sub-073_ses-01_task-szMonitoring_run-34,0.89,20,100,73
sub-073_ses-01_task-szMonitoring_run-35,0.9111111111111111,3,15,73
sub-073_ses-01_task-szMonitoring_run-36,0.8949826989619377,68,340,73
sub-073_ses-01_task-szMonitoring_run-42,0.9554582016661879,118,590,73
sub-073_ses-01_task-szMonitoring_run-45,0.9624499846106496,57,285,73
sub-073_ses-01_task-szMonitoring_run-46,0.9508650519031141,17,85,73
sub-073_ses-01_task-szMonitoring_run-47,0.9408331927812448,77,385,73
sub-073_ses-01_task-szMonitoring_run-48,0.8112096224192449,127,635,73
sub-073_ses-01_task-szMonitoring_run-50,0.7095490047871,63,315,73
sub-073_ses-01_task-szMonitoring_run-51,0.9237866666666666,150,750,73
sub-073_ses-01_task-szMonitoring_run-52,0.8892561983471075,22,110,73
sub-073_ses-01_task-szMonitoring_run-54,0.9801652892561983,11,55,73
sub-074_ses-01_task-szMonitoring_run-02,0.7962192816635161,23,115,74
sub-074_ses-01_task-szMonitoring_run-04,0.738,10,50,74
sub-074_ses-01_task-szMonitoring_run-06,0.9253333333333333,15,75,74
sub-074_ses-01_task-szMonitoring_run-07,0.9486111111111111,12,60,74
sub-074_ses-01_task-szMonitoring_run-16,0.9506172839506173,9,45,74
sub-074_ses-01_task-szMonitoring_run-17,0.889795918367347,7,35,74
sub-075_ses-01_task-szMonitoring_run-01,0.80625,8,40,75
sub-075_ses-01_task-szMonitoring_run-33,0.9847222222222223,12,60,75
sub-076_ses-01_task-szMonitoring_run-08,0.9388429752066115,11,55,76
sub-076_ses-01_task-szMonitoring_run-16,0.9734375000000001,16,80,76
sub-077_ses-01_task-szMonitoring_run-02,0.5226666666666666,15,75,77
sub-077_ses-01_task-szMonitoring_run-06,0.6421600000000001,50,250,77
sub-078_ses-01_task-szMonitoring_run-26,0.9518135904499541,132,660,78
sub-079_ses-01_task-szMonitoring_run-01,0.96064,25,125,79
sub-079_ses-01_task-szMonitoring_run-02,0.45,2,10,79
sub-079_ses-01_task-szMonitoring_run-07,0.8986111111111111,12,60,79
sub-079_ses-01_task-szMonitoring_run-09,0.9,2,10,79
sub-079_ses-01_task-szMonitoring_run-12,0.9111111111111112,3,15,79
sub-079_ses-01_task-szMonitoring_run-14,0.7502222222222222,15,75,79
sub-079_ses-01_task-szMonitoring_run-16,0.9680000000000001,5,25,79
sub-079_ses-01_task-szMonitoring_run-17,0.837037037037037,9,45,79
sub-080_ses-01_task-szMonitoring_run-05,0.7875,4,20,80
sub-080_ses-01_task-szMonitoring_run-06,0.8291666666666666,12,60,80
