recording_id,n_neg,neg_mean,neg_med,neg_q99,neg_max,dur_s,tag
sub-018_ses-01_task-szMonitoring_run-10,1110,0.16334966835607811,0.08797299116849895,0.8608275991678245,0.907505214214325,74820.0,spectral-gru__large__h45__sop10
sub-019_ses-01_task-szMonitoring_run-01,1220,0.22877373655944996,0.0821438431739807,0.93986171066761,0.9678374528884888,75840.0,spectral-gru__large__h45__sop10
sub-019_ses-01_task-szMonitoring_run-02,83,0.0569838555810232,0.0242404378950595,0.367678083777426,0.5555336475372314,8580.0,spectral-gru__large__h45__sop10
sub-019_ses-01_task-szMonitoring_run-03,1224,0.17079813759834836,0.047166675329208346,0.9573632133007051,0.9686060547828674,76080.0,spectral-gru__large__h45__sop10
sub-019_ses-01_task-szMonitoring_run-04,58,0.034774562905959996,0.020068662241101203,0.15218265622854227,0.1717089563608169,6120.0,spectral-gru__large__h45__sop10
sub-019_ses-01_task-szMonitoring_run-05,1214,0.20675207171289942,0.0568587929010391,0.930410410761833,0.9648642539978028,78180.0,spectral-gru__large__h45__sop10
sub-019_ses-01_task-szMonitoring_run-06,350,0.054105462064700426,0.0137318996712565,0.8559741061925887,0.9200549125671388,23640.0,spectral-gru__large__h45__sop10
sub-019_ses-01_task-szMonitoring_run-07,1148,0.21519241751275486,0.0816462971270084,0.9223883628845213,0.9610610604286194,78600.0,spectral-gru__large__h45__sop10
sub-019_ses-01_task-szMonitoring_run-08,86,0.02306346460462132,0.0162860695272684,0.07910539433360105,0.0930995494127273,7800.0,spectral-gru__large__h45__sop10
sub-019_ses-01_task-szMonitoring_run-09,1213,0.08273618112595384,0.0272777862846851,0.8672027635574331,0.9572656750679016,75420.0,spectral-gru__large__h45__sop10
sub-020_ses-01_task-szMonitoring_run-01,1143,0.023474074044833745,0.0030969663057476,0.5641172587871525,0.970087230205536,71220.0,spectral-gru__large__h45__sop10
sub-020_ses-01_task-szMonitoring_run-02,134,0.010675825224016437,0.0030757929198443,0.16567581631243106,0.3936344087123871,10680.0,spectral-gru__large__h45__sop10
sub-020_ses-01_task-szMonitoring_run-03,1195,0.0743977116130557,0.0039485204033553,0.9817716681957245,0.9948177933692932,74340.0,spectral-gru__large__h45__sop10
sub-020_ses-01_task-szMonitoring_run-04,118,0.00796280460041485,0.00491212029010055,0.046913295984268105,0.0495685450732708,9720.0,spectral-gru__large__h45__sop10
sub-020_ses-01_task-szMonitoring_run-05,981,0.04409378715041996,0.003349813632667,0.9781565546989446,0.9971256852149964,73920.0,spectral-gru__large__h45__sop10
